participant,trial,condition,global_mean_amp,global_peak_amp,global_peak_latency_s,theta_power_global,alpha_power_global,RT_ms,Accuracy,MEG0_mean,MEG0_peak,MEG0_peak_latency_s,MEG1_mean,MEG1_peak,MEG1_peak_latency_s,MEG2_mean,MEG2_peak,MEG2_peak_latency_s,MEG3_mean,MEG3_peak,MEG3_peak_latency_s,MEG4_mean,MEG4_peak,MEG4_peak_latency_s,MEG5_mean,MEG5_peak,MEG5_peak_latency_s,MEG6_mean,MEG6_peak,MEG6_peak_latency_s,MEG7_mean,MEG7_peak,MEG7_peak_latency_s,MEG8_mean,MEG8_peak,MEG8_peak_latency_s,MEG9_mean,MEG9_peak,MEG9_peak_latency_s
sub-01,1,A,0.22839191713863852,4.282330311328769,0.16,0.027778157864699653,0.013012932235180286,442.47694066137933,1,0.2993666881435779,3.6311968940115227,0.116,0.11806760909564108,3.33056183255545,0.052,0.40795488723520673,2.8899513518419586,0.164,0.10884502884028084,2.9286787901115257,0.412,0.07942509706752769,-3.3397456618670054,0.012,0.15274985218398157,3.3632544168868077,0.2,0.272114549823113,3.583914890739045,0.38,0.37729709433797204,-4.109957492522067,0.292,0.26849118392013394,3.1677911267357506,0.304,0.19960718073895029,4.282330311328769,0.16
sub-01,2,B,0.10539552053654515,4.009843819807433,0.132,0.016774286335782353,0.01485517926008221,372.71107630380556,1,0.15792791131638653,-3.2323855555683894,0.472,0.22907046098360906,3.041713451088155,0.112,-0.05685773983601257,3.2855883335666958,0.412,-0.017840259138420283,2.9325531937334266,0.088,0.13138963735075088,3.175591737950384,0.024,-0.07381030583054253,-2.898202852569304,0.108,0.0988659403865681,3.5988142391711024,0.16,0.08167284533023488,3.647614694094916,0.112,0.3960003694620715,4.009843819807433,0.132,0.10753634534080604,3.1231051492021598,0.152
sub-01,3,A,0.2707366321684904,4.815797899070162,0.152,0.020713158447133197,0.010853457047260559,387.83691365269704,1,0.33439314794480457,3.2139942028571498,0.18,0.09106065214274113,-3.095630890974219,0.228,0.3206479306179561,3.4493918183146897,0.352,0.3436973392096965,2.990222074256204,0.16,0.24863401331003293,3.418080642503596,0.464,0.19221406560111573,-3.099778473403107,0.464,-0.0302840335931592,3.8535476487934788,0.116,0.3040417004527992,3.518695470436344,0.096,0.49632592417935556,3.5249465285935213,0.16,0.4066355818195619,4.815797899070162,0.152
sub-01,4,B,0.08191595889794247,3.9267262220060912,0.128,0.01356224976729278,0.00760987894109263,403.93232861855057,1,-0.028969547103664884,3.137504551649308,0.24,0.052742653867445824,3.086769102208963,0.156,0.0874949423193886,3.894173595984205,0.416,0.29386182062977256,3.7515854241431623,0.24,0.0017629348266694365,3.9267262220060912,0.128,0.17220727870042207,3.549124645726782,0.172,0.031102518656637046,-3.5442437286943687,0.396,0.04641546988448087,3.2215827211310413,0.396,0.045249838091788015,-3.5027082543791344,0.016,0.11729167910648511,3.202328081825269,0.172
sub-01,5,A,0.30606984550595107,-4.948169015161989,0.312,0.026364585797821666,0.010794662846193044,376.81868686767837,1,0.20156652862688826,3.256650341609358,0.16,0.45444407940763976,3.658866726113628,0.288,0.3565257954687424,2.822949956495897,0.108,0.1637898302510039,2.6913789994861164,0.112,0.17594819449782317,-4.948169015161989,0.312,0.4468759343879744,4.437101564132285,0.156,0.7082929785832452,4.095600803844226,0.112,-0.02326456516852929,3.8759738261506804,0.1,0.20824764476922739,3.106281268820327,0.156,0.36827203423549565,3.4971394192765115,0.396
sub-01,6,B,0.1449730490025503,3.713922540686413,0.308,0.020192610170278024,0.012514429297047654,468.4034961401656,1,0.2351584786056481,-3.013138442064407,0.444,0.24766792914305047,3.445070219642585,0.128,0.012368197917956472,-3.051188929410604,0.404,0.2116625229158779,2.68086018568885,0.168,-0.029086496044877053,-3.0036634975391703,0.148,0.2714179223372243,3.2561541072405356,0.128,0.30691259987588604,3.713922540686413,0.308,0.15760927694913315,-2.4751885548820773,0.228,0.06594779054832005,3.161817525871677,0.372,-0.029927732222716375,3.5138460666773375,0.4
sub-01,7,A,0.21591789459227678,4.755685205551766,0.072,0.023374701268942935,0.011865519533063468,496.4539684419867,1,0.16014739564823136,-3.383742681087639,0.308,0.12810060661883607,3.1564034494189652,0.144,0.08689633576596609,2.9393714355266316,0.116,0.3373209063061054,4.0263396939739255,0.176,0.38069173011867813,4.755685205551766,0.072,0.0801399225772121,3.1051625446455398,0.296,0.42573147153386104,3.751169099432156,0.14,0.1778282380312449,2.829219395919665,0.172,0.16818322992528664,3.6229404441751303,0.148,0.2141391093973465,-3.055003543819388,0.34
sub-01,8,B,0.08598362685184129,4.019668133895358,0.156,0.014616877077910395,0.008247726875448872,448.8529082763056,1,0.05795456264148044,-2.842751682158234,0.42,0.2377785532291537,3.9293507944427213,0.18,0.011725343734887043,-3.679084050791893,0.492,-0.1079882657487812,4.019668133895358,0.156,0.025580371636256753,3.6693106661052495,0.108,-0.012094756710954687,-3.08334793037323,0.22,0.387801823420046,3.2681785904318743,0.352,0.018754506121105085,3.6245557822685694,0.104,0.06826993245158182,-3.1258425058620998,0.476,0.17205419774363792,-2.8308805813887075,0.46
sub-01,9,A,0.2417537494979874,5.3886794540895195,0.144,0.03188895643550481,0.00878460476458286,417.4977063228188,1,0.14169355321300883,3.4448138202440592,0.2,0.3001966756681784,3.6046650030872467,0.14,0.16924166479517183,3.2928435117284893,0.14,0.20595203301502865,2.9466437900434697,0.104,0.5318068808851932,5.3886794540895195,0.144,-0.01838483818753832,-3.5021947631398214,0.036,0.3385174190957491,3.607973463348708,0.184,0.43255899184891916,-3.4756274205579714,0.412,0.23250013116371704,3.7544327940976068,0.164,0.08345498348244583,-2.9786555853067593,0.324
sub-01,10,B,0.1301312981525339,4.680207720492422,0.42,0.015450468285891847,0.011708312354272433,429.3216179282131,0,-0.06882441898012695,3.118979285502501,0.48,0.3960127249670884,4.680207720492422,0.42,0.002902329647459666,-2.8952567899260764,0.464,0.08589975612202558,3.189839519207918,0.316,0.25244411112158194,3.2917877113251106,0.172,0.09631626454800005,4.053378996218475,0.172,-0.05226576205074191,2.5271580222900276,0.34,0.3106949888160918,2.9905904944831745,0.18,-0.017928110976753796,3.02642966732079,0.416,0.29606109831071425,3.2961846602508933,0.46
